"","Intervall","Abschnitttyp","Runde","Zeit","Gesamtzeit","Distanz","Ø Pace","Ø Herzfrequenz","Maximale Herzfrequenz","Anstieg gesamt","Abstieg gesamt","Ø Schrittfrequenz (Laufen)","Ø Schrittlänge","Kalorien","Beste Pace","Max. Schrittfrequenz (Laufen)","Zeit in Bewegung","Ø Pace in Bewegung"
"","","Warm up","1","4:44.5","4:44.5","0.57","8:19","129","148","56","0","119","1.01","36","3:05","191","3:44","6:33"
"","1","Laufen","2","3:44.0","8:28.5","0.80","4:40","158","178","39","0","164","1.31","40","3:47","174","3:43","4:39"
"","","Erholung","3","2:00","10:29","0.14","14:06","128","179","14","4","110","0.64","12","4:26","172","1:49","12:49"
"","2","Laufen","4","3:41.6","14:10","0.80","4:37","162","181","23","18","164","1.32","38","4:22","174","3:41.6","4:37"
"","","Erholung","5","2:00","16:10","0.15","13:40","130","181","2","7","113","0.65","12","4:32","170","1:49","12:25"
"","3","Laufen","6","3:47.8","19:58","0.80","4:45","159","181","23","18","166","1.27","40","3:46","180","3:47.8","4:45"
"","","Erholung","7","2:00","21:58","0.16","12:09","135","182","6","6","105","0.78","13","4:24","165","1:55","11:38"
"","4","Laufen","8","3:41.2","25:39","0.80","4:37","162","185","25","23","164","1.32","39","3:39","182","3:41.2","4:37"
"","","Erholung","9","2:00","27:39","0.16","12:17","150","185","9","6","102","0.80","16","4:23","166","1:56","11:53"
"","5","Laufen","10","3:46.7","31:26","0.80","4:43","170","186","21","25","164","1.29","37","3:27","183","3:43","4:39"
"","","Erholung","11","2:00","33:26","0.15","13:02","138","186","6","16","116","0.66","12","4:26","168","1:50","11:57"
"","","Cool Down","12 - 13","4:20.2","37:46","0.52","8:25","126","143","36","30","136","0.87","29","6:03","165","4:20.2","8:25"
"","","Cool Down","12","4:11.1","37:37","0.50","8:27","127","143","8","2","138","0.86","28","6:03","165","4:11","8:27"
"","","Cool Down","13","0:09.2","37:46","0.02","7:29","101","102","0","0","88","1.52","0","13:02","112","0:09","7:21"
"","Übersicht","--","--","37:46","37:46","5.85","6:27","147","186","90","89","141","1.06","318","3:05","191","36:40","6:16"
