"","Intervall","Abschnitttyp","Runde","Zeit","Gesamtzeit","Distanz","Ø Pace","Ø Herzfrequenz","Maximale Herzfrequenz","Anstieg gesamt","Abstieg gesamt","Ø Schrittfrequenz (Laufen)","Ø Schrittlänge","Kalorien","Beste Pace","Max. Schrittfrequenz (Laufen)","Zeit in Bewegung","Ø Pace in Bewegung"
"","","Warm up","1","1:20.9","1:20.9","0.23","5:56","112","129","26","18","147","1.15","8","7:00","165","1:13","5:21"
"","1","Laufen","2 - 4","15:00","16:21","2.02","7:26","131","142","63","66","158","0.85","111","6:03","164","14:50","7:21"
"","","Laufen","2","7:03.2","8:24.1","1.00","7:03","130","142","4","5","158","0.90","55","6:03","164","6:56","6:56"
"","","Laufen","3","7:47.9","16:12","1.00","7:48","131","141","10","7","158","0.81","54","7:05","164","7:47.9","7:48"
"","","Laufen","4","0:08.9","16:21","0.02","7:45","132","133","0","0","161","0.80","1","8:05","161","0:08.9","7:45"
"","2","Laufen","5 - 6","15:00","31:21","1.95","7:43","132","147","55","42","159","0.81","105","6:46","166","14:48","7:36"
"","","Laufen","5","7:38.8","24:00","1.00","7:39","129","139","0","5","159","0.82","52","6:46","166","7:32","7:32"
"","","Laufen","6","7:21.2","31:21","0.95","7:46","134","147","13","8","160","0.80","52","6:54","163","7:21","7:46"
"","","Cool Down","7 - 8","0:51.7","32:13","0.07","11:49","121","132","2","0","105","0.81","5","7:12","162","0:48","10:58"
"","","Cool Down","7","0:46.3","32:07","0.06","12:12","123","132","0","0","107","0.77","4","7:12","162","0:46","12:06"
"","","Cool Down","8","0:05.4","32:13","0.01","9:25","104","105","0","0","91","1.17","0","11:27","108","0:05.4","9:25"
"","Übersicht","--","--","32:13","32:13","4.27","7:33","130","147","27","24","157","0.85","225","6:03","166","31:55","7:29"
